[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/home/incall/.pm2/pm2.log last 200 lines:
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1089ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1293ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1092ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1091ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1019ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1396ms
5|makevide | 
5|makevide | > ai-video-marketing@0.1.0 start
5|makevide | > next start -p 3000
5|makevide | 
5|makevide | ▲ Next.js 16.1.6
5|makevide | - Local:         http://localhost:3000
5|makevide | - Network:       http://124.158.9.5:3000
5|makevide | 
5|makevide | ✓ Starting...
5|makevide | ✓ Ready in 1327ms

/home/incall/.pm2/logs/makevideo-ai-error.log last 200 lines:
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
5|makevide |     at ignore-listed frames
5|makevide | Error: Failed to find Server Action "x". This request might be from an older or newer deployment.
5|makevide | Read more: https://nextjs.org/docs/messages/failed-to-find-server-action
